#tags: deutsch verbs abridged
#deck: _Default::Deutsch
#notetype: Deutsch-Cloze
#separator: Semicolon

Er/Sie {{c1::ist::sein, Präsens}};
Er/Sie {{c1::hat::haben, Präsens}};
Er/Sie {{c1::wird::werden (Hilfsverb), Präsens}};
Er/Sie {{c1::wird::werden (Vollverb), Präsens}};
Er/Sie {{c1::kann::können, Präsens}};
Er/Sie {{c1::muss::müssen, Präsens}};
Er/Sie {{c1::darf::dürfen, Präsens}};
Er/Sie {{c1::will::wollen, Präsens}};
Er/Sie {{c1::sollt::sollen, Präsens}};
Er/Sie {{c1::mag::mögen, Präsens}};
Er/Sie {{c1::bietet an::anbieten, Präsens}};
Er/Sie {{c1::fängt an::anfangen, Präsens}};
Er/Sie {{c1::nimmt an::annehmen, Präsens}};
Er/Sie {{c1::sieht an::ansehen, Präsens}};
Er/Sie {{c1::arbeitet::arbeiten, Präsens}};
Er/Sie {{c1::sieht aus::aussehen, Präsens}};
Er/Sie {{c1::backt::backen, Präsens}};
Er/Sie {{c1::bedeutet::bedeuten, Präsens}};
Er/Sie {{c1::befiehlt::befehlen, Präsens}};
Er/Sie {{c1::beginnt::beginnen, Präsens}};
Er/Sie {{c1::beißt::beißen, Präsens}};
Er/Sie {{c1::bekommt::bekommen, Präsens}};
Er/Sie {{c1::besteht::bestehen, Präsens}};
Er/Sie {{c1::besucht::besuchen, Präsens}};
Er/Sie {{c1::betrifft::betreffen, Präsens}};
Er/Sie {{c1::betrügt::betrügen, Präsens}};
Er/Sie {{c1::bewegt::bewegen, Präsens}};
Er/Sie {{c1::bezahlt::bezahlen, Präsens}};
Er/Sie {{c1::biegt::biegen, Präsens}};
Er/Sie {{c1::bietet::bieten, Präsens}};
Er/Sie {{c1::bildet::bilden, Präsens}};
Er/Sie {{c1::bindet::binden, Präsens}};
Er/Sie {{c1::bittet::bitten, Präsens}};
Er/Sie {{c1::bläst::blasen, Präsens}};
Er/Sie {{c1::bleibt::bleiben, Präsens}};
Er/Sie {{c1::brät::braten, Präsens}};
Er/Sie {{c1::braucht::brauchen, Präsens}};
Er/Sie {{c1::bricht::brechen, Präsens}};
Er/Sie {{c1::brennt::brennen, Präsens}};
Er/Sie {{c1::bringt::bringen, Präsens}};
Er/Sie {{c1::stellt dar::darstellen, Präsens}};
Er/Sie {{c1::denkt::denken, Präsens}};
Er/Sie {{c1::lädt ein::einladen, Präsens}};
Er/Sie {{c1::steigt ein::einsteigen, Präsens}};
Er/Sie {{c1::empfiehlt::empfehlen, Präsens}};
Er/Sie {{c1::entspricht::entsprechen, Präsens}};
Er/Sie {{c1::entsteht::entstehen, Präsens}};
Er/Sie {{c1::entwickelt::entwickeln, Präsens}};
Er/Sie {{c1::ergibt::ergeben, Präsens}};
Er/Sie {{c1::erhält::erhalten, Präsens}};
Er/Sie {{c1::erinnert::erinnern, Präsens}};
